,result,result,result,result,result,result,result,result,result,result,result,result,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,time_to_complete,status,num_questions_right,passed,quiz_questions
418,True,True,True,,True,True,,,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'spilled_milk', 'adoption', 'sports_team', 'extracurricular_activities', 'business_meeting', 'family_reunion', 'negotiations']"
419,False,False,,False,,False,True,False,False,,,False,,,,,,,,,,,,,needs_invitation_response,1.0,False,"['conference_swag', 'adoption', 'book_club', 'hackday', 'family_reunion', 'sports_team', 'game_night', 'massage_therapist']"
420,,True,True,,False,True,False,True,False,,False,,,,,,,,,,,,,,rejected_at_initial_evaluation,4.0,False,"['hackday', 'massage_therapist', 'spilled_milk', 'game_night', 'business_meeting', 'book_club', 'extracurricular_activities', 'family_reunion']"
421,,,True,True,False,True,True,True,True,,,True,,,,,,,,,,,,,needs_to_schedule_interview,7.0,True,"['extracurricular_activities', 'business_meeting', 'hackday', 'family_reunion', 'game_night', 'massage_therapist', 'conference_swag', 'sports_team']"
422,True,True,True,True,True,True,,,,,False,True,485.63603076,228.679699259,198.459140325,153.835187951,810.567280392,466.109174312,,,,,541.103875916,431.263650836,rejected_at_logic_evaluation,7.0,True,"['extracurricular_activities', 'spilled_milk', 'adoption', 'conference_swag', 'sports_team', 'business_meeting', 'book_club', 'family_reunion']"
423,False,False,False,False,False,,,False,False,,,False,,,,,,,,,,,,,rejected_at_initial_evaluation,0.0,False,"['massage_therapist', 'book_club', 'sports_team', 'adoption', 'business_meeting', 'conference_swag', 'hackday', 'extracurricular_activities']"
424,True,True,False,True,True,True,,,,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['sports_team', 'business_meeting', 'adoption', 'book_club', 'negotiations', 'conference_swag', 'extracurricular_activities', 'family_reunion']"
425,,,,,,,,,,,,,,,,,,,,,,,,,pending,0.0,False,"['hackday', 'extracurricular_activities', 'massage_therapist', 'conference_swag', 'sports_team', 'spilled_milk', 'game_night', 'business_meeting']"
426,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'spilled_milk', 'conference_swag', 'extracurricular_activities', 'family_reunion', 'massage_therapist', 'book_club', 'negotiations']"
427,True,True,True,,True,,True,,True,,True,True,,,,,,,,,,,,,rejected_at_interview,8.0,True,"['book_club', 'adoption', 'sports_team', 'business_meeting', 'extracurricular_activities', 'massage_therapist', 'game_night', 'spilled_milk']"
428,True,,True,,True,,False,True,True,,False,True,,,,,,,,,,,,,accepted_invitation,6.0,True,"['sports_team', 'adoption', 'hackday', 'spilled_milk', 'business_meeting', 'game_night', 'extracurricular_activities', 'massage_therapist']"
429,,,,False,True,True,,True,True,True,True,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['sports_team', 'hackday', 'spilled_milk', 'conference_swag', 'negotiations', 'family_reunion', 'extracurricular_activities', 'massage_therapist']"
430,False,False,False,False,True,True,,,,,True,True,,,,,,,,,,,,,rejected_at_initial_evaluation,4.0,False,"['business_meeting', 'family_reunion', 'conference_swag', 'adoption', 'book_club', 'spilled_milk', 'sports_team', 'extracurricular_activities']"
431,True,,True,,,,True,True,True,True,True,False,,,,,,,,,,,,,accepted_invitation,7.0,True,"['adoption', 'massage_therapist', 'spilled_milk', 'business_meeting', 'sports_team', 'hackday', 'game_night', 'negotiations']"
432,True,True,,,True,,False,True,,True,True,True,,,,,,,,,,,,,needs_to_schedule_interview,7.0,True,"['book_club', 'hackday', 'adoption', 'negotiations', 'game_night', 'spilled_milk', 'extracurricular_activities', 'sports_team']"
433,True,,True,True,,True,True,,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['spilled_milk', 'conference_swag', 'adoption', 'business_meeting', 'negotiations', 'family_reunion', 'sports_team', 'game_night']"
434,True,True,True,,False,True,True,True,True,,,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['business_meeting', 'hackday', 'extracurricular_activities', 'book_club', 'game_night', 'family_reunion', 'adoption', 'massage_therapist']"
435,True,,True,True,False,True,,True,False,False,,,,,,,,,,,,,,,rejected_at_interview,5.0,True,"['family_reunion', 'extracurricular_activities', 'hackday', 'negotiations', 'business_meeting', 'massage_therapist', 'adoption', 'conference_swag']"
436,True,,False,False,False,False,True,,,False,False,,,,,,,,,,,,,,rejected_at_initial_evaluation,2.0,False,"['business_meeting', 'game_night', 'extracurricular_activities', 'adoption', 'spilled_milk', 'conference_swag', 'negotiations', 'family_reunion']"
437,,,,,,,,,,,,,,,,,,,,,,,,,pending,0.0,False,"['hackday', 'conference_swag', 'business_meeting', 'extracurricular_activities', 'family_reunion', 'massage_therapist', 'adoption', 'game_night']"
438,,True,True,True,True,True,,True,True,,False,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['hackday', 'massage_therapist', 'family_reunion', 'extracurricular_activities', 'spilled_milk', 'business_meeting', 'conference_swag', 'book_club']"
439,True,,True,True,True,True,,True,,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'family_reunion', 'spilled_milk', 'business_meeting', 'conference_swag', 'sports_team', 'adoption', 'hackday']"
440,,True,True,True,True,,,True,,True,True,False,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'negotiations', 'hackday', 'book_club', 'conference_swag', 'sports_team', 'spilled_milk', 'business_meeting']"
441,True,True,,True,,True,True,True,True,True,,,,,,,,,,,,,,,declined_invitation,8.0,True,"['family_reunion', 'massage_therapist', 'game_night', 'adoption', 'negotiations', 'book_club', 'hackday', 'conference_swag']"
442,,False,False,False,False,True,,True,True,False,,,,,,,,,,,,,,,rejected_at_initial_evaluation,3.0,False,"['business_meeting', 'conference_swag', 'hackday', 'book_club', 'negotiations', 'extracurricular_activities', 'family_reunion', 'massage_therapist']"
443,True,True,True,True,,True,True,,,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['business_meeting', 'book_club', 'spilled_milk', 'adoption', 'family_reunion', 'game_night', 'negotiations', 'conference_swag']"
444,True,True,True,,,,False,True,True,True,False,,,,,,,,,,,,,,needs_invitation_response,6.0,True,"['hackday', 'massage_therapist', 'game_night', 'business_meeting', 'negotiations', 'spilled_milk', 'book_club', 'adoption']"
445,True,,True,False,,True,,True,False,False,True,,,,,,,,,,,,,,accepted_invitation,5.0,True,"['adoption', 'family_reunion', 'hackday', 'massage_therapist', 'business_meeting', 'conference_swag', 'spilled_milk', 'negotiations']"
446,False,False,False,,False,,False,,True,,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,1.0,False,"['extracurricular_activities', 'game_night', 'adoption', 'sports_team', 'book_club', 'massage_therapist', 'spilled_milk', 'business_meeting']"
447,True,False,False,False,False,,,,False,,False,False,,,,,,,,,,,,,rejected_at_interview,1.0,False,"['extracurricular_activities', 'spilled_milk', 'conference_swag', 'massage_therapist', 'adoption', 'book_club', 'business_meeting', 'sports_team']"
448,,True,True,,False,True,,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'sports_team', 'spilled_milk', 'massage_therapist', 'hackday', 'book_club', 'family_reunion', 'business_meeting']"
449,,,False,False,,False,True,True,,False,True,False,,,346.751730744,146.678609978,,195.888285275,327.857162058,154.647553802,,315.25121804,180.85105419,263.436234288,rejected_at_initial_evaluation,3.0,False,"['business_meeting', 'conference_swag', 'sports_team', 'game_night', 'spilled_milk', 'hackday', 'negotiations', 'family_reunion']"
450,True,True,False,True,True,,True,True,,,,True,,,,,,,,,,,,,needs_invitation_response,7.0,True,"['conference_swag', 'book_club', 'hackday', 'game_night', 'extracurricular_activities', 'sports_team', 'adoption', 'business_meeting']"
451,True,True,True,,True,True,True,,True,,False,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'book_club', 'adoption', 'business_meeting', 'massage_therapist', 'spilled_milk', 'family_reunion', 'game_night']"
452,True,True,,,,True,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'game_night', 'adoption', 'massage_therapist', 'spilled_milk', 'family_reunion', 'book_club', 'sports_team']"
453,True,True,,True,,,True,True,True,,True,True,,,,,,,,,,,,,needs_invitation_response,8.0,True,"['adoption', 'game_night', 'conference_swag', 'hackday', 'massage_therapist', 'spilled_milk', 'book_club', 'sports_team']"
454,True,True,,,True,,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'hackday', 'spilled_milk', 'adoption', 'sports_team', 'extracurricular_activities', 'book_club', 'game_night']"
455,False,,,True,False,False,,False,True,False,False,,,,,,,,,,,,,,accepted_invitation,2.0,False,"['conference_swag', 'negotiations', 'massage_therapist', 'family_reunion', 'adoption', 'spilled_milk', 'hackday', 'extracurricular_activities']"
456,True,,True,False,True,,False,,True,True,,False,,,,,,,,,,,,,rejected_at_logic_evaluation,5.0,False,"['extracurricular_activities', 'sports_team', 'adoption', 'business_meeting', 'game_night', 'massage_therapist', 'conference_swag', 'negotiations']"
457,True,False,True,True,,True,False,,False,True,,,,,,,,,,,,,,,accepted_invitation,5.0,True,"['conference_swag', 'book_club', 'family_reunion', 'massage_therapist', 'adoption', 'business_meeting', 'negotiations', 'game_night']"
458,,True,True,False,True,,,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'book_club', 'sports_team', 'conference_swag', 'hackday', 'business_meeting', 'massage_therapist', 'spilled_milk']"
459,True,True,True,True,,True,,,,True,False,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['negotiations', 'spilled_milk', 'adoption', 'business_meeting', 'sports_team', 'family_reunion', 'book_club', 'conference_swag']"
460,False,,False,,True,,False,,False,False,False,False,30.914083636,,56.033249425,,15.821817221,,93.193854036,,93.006519721,44.532256488,15.383184689,38.584789208,rejected_at_initial_evaluation,1.0,False,"['business_meeting', 'massage_therapist', 'game_night', 'sports_team', 'negotiations', 'extracurricular_activities', 'spilled_milk', 'adoption']"
461,True,True,True,False,,True,True,,,True,False,,,,,,,,,,,,,,rejected_at_interview,6.0,True,"['conference_swag', 'game_night', 'spilled_milk', 'negotiations', 'family_reunion', 'business_meeting', 'book_club', 'adoption']"
462,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,needs_invitation_response,8.0,True,"['game_night', 'family_reunion', 'book_club', 'business_meeting', 'conference_swag', 'hackday', 'massage_therapist', 'extracurricular_activities']"
463,True,True,False,True,,True,True,,,True,False,,,,,,,,,,,,,,accepted_invitation,6.0,True,"['spilled_milk', 'family_reunion', 'conference_swag', 'negotiations', 'business_meeting', 'game_night', 'book_club', 'adoption']"
464,True,,True,False,True,False,,True,True,,True,,,,,,,,,,,,,,rejected_at_logic_evaluation,6.0,True,"['adoption', 'family_reunion', 'spilled_milk', 'conference_swag', 'massage_therapist', 'hackday', 'extracurricular_activities', 'business_meeting']"
465,,True,True,True,,True,True,True,,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['family_reunion', 'spilled_milk', 'business_meeting', 'hackday', 'conference_swag', 'book_club', 'negotiations', 'game_night']"
466,True,,True,True,,True,True,,True,True,False,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['spilled_milk', 'game_night', 'negotiations', 'conference_swag', 'massage_therapist', 'adoption', 'business_meeting', 'family_reunion']"
467,True,,,True,,,True,True,True,False,False,False,,,,,,,,,,,,,accepted_invitation,5.0,True,"['sports_team', 'adoption', 'game_night', 'hackday', 'massage_therapist', 'spilled_milk', 'negotiations', 'conference_swag']"
468,,,True,False,True,False,,,True,False,True,True,,,,,,,,,,,,,accepted_invitation,5.0,True,"['spilled_milk', 'negotiations', 'business_meeting', 'family_reunion', 'extracurricular_activities', 'massage_therapist', 'conference_swag', 'sports_team']"
469,False,,False,False,False,,False,,,False,False,False,,,,,,,,,,,,,accepted_invitation,0.0,False,"['extracurricular_activities', 'adoption', 'game_night', 'negotiations', 'conference_swag', 'business_meeting', 'sports_team', 'spilled_milk']"
470,True,True,True,,True,,True,True,True,,True,,,,,,,,,,,,,,declined_invitation,8.0,True,"['spilled_milk', 'extracurricular_activities', 'massage_therapist', 'business_meeting', 'adoption', 'game_night', 'book_club', 'hackday']"
471,True,True,True,,True,True,True,,True,True,,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'adoption', 'family_reunion', 'massage_therapist', 'book_club', 'game_night', 'negotiations', 'business_meeting']"
472,True,True,True,False,,,,False,True,True,False,,138.0271254,265.645516414,156.537867839,108.569510731,,,,249.152986033,370.797681961,329.439512103,214.885614506,,accepted_invitation,5.0,True,"['hackday', 'book_club', 'business_meeting', 'negotiations', 'spilled_milk', 'massage_therapist', 'conference_swag', 'adoption']"
473,,True,True,True,,True,False,,,True,True,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['business_meeting', 'book_club', 'negotiations', 'spilled_milk', 'sports_team', 'conference_swag', 'game_night', 'family_reunion']"
474,True,True,,True,,True,False,True,True,,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['conference_swag', 'hackday', 'massage_therapist', 'game_night', 'family_reunion', 'adoption', 'sports_team', 'book_club']"
475,,False,False,,,False,False,True,,True,False,True,,,,,,,,,,,,,rejected_at_logic_evaluation,3.0,False,"['family_reunion', 'sports_team', 'book_club', 'business_meeting', 'hackday', 'negotiations', 'game_night', 'spilled_milk']"
476,,True,True,,,True,False,,False,True,True,False,,,,,,,,,,,,,accepted_invitation,5.0,True,"['spilled_milk', 'sports_team', 'business_meeting', 'massage_therapist', 'game_night', 'family_reunion', 'book_club', 'negotiations']"
477,True,,,,True,True,True,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['negotiations', 'family_reunion', 'massage_therapist', 'hackday', 'extracurricular_activities', 'spilled_milk', 'adoption', 'game_night']"
478,True,,,False,True,True,True,True,True,,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['game_night', 'sports_team', 'conference_swag', 'massage_therapist', 'family_reunion', 'hackday', 'extracurricular_activities', 'adoption']"
479,True,True,True,,,True,,True,True,True,,False,,,,,,,,,,,,,accepted_invitation,7.0,True,"['adoption', 'sports_team', 'business_meeting', 'book_club', 'massage_therapist', 'family_reunion', 'hackday', 'negotiations']"
480,True,,True,True,True,,True,True,True,,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['business_meeting', 'massage_therapist', 'adoption', 'hackday', 'sports_team', 'game_night', 'conference_swag', 'extracurricular_activities']"
481,True,True,,False,True,,True,,True,True,True,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['massage_therapist', 'game_night', 'extracurricular_activities', 'spilled_milk', 'conference_swag', 'book_club', 'negotiations', 'adoption']"
482,,False,True,,,True,True,False,True,True,True,,,,,,,,,,,,,,declined_invitation,6.0,True,"['negotiations', 'hackday', 'spilled_milk', 'family_reunion', 'game_night', 'massage_therapist', 'book_club', 'business_meeting']"
483,True,,True,False,True,False,,,True,True,True,,188.837658297,,355.531552479,51.353021125,244.248860061,156.83924257,,,347.488955755,263.60169559,400.368927703,,needs_to_schedule_interview,6.0,True,"['family_reunion', 'business_meeting', 'spilled_milk', 'adoption', 'negotiations', 'massage_therapist', 'conference_swag', 'extracurricular_activities']"
484,,,,True,True,True,True,True,False,,False,False,,,,,,,,,,,,,accepted_invitation,5.0,True,"['family_reunion', 'hackday', 'sports_team', 'spilled_milk', 'extracurricular_activities', 'massage_therapist', 'conference_swag', 'game_night']"
485,True,False,,True,,,False,,False,False,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,2.0,False,"['sports_team', 'negotiations', 'book_club', 'massage_therapist', 'spilled_milk', 'adoption', 'conference_swag', 'game_night']"
486,False,True,False,,,,True,True,True,,False,True,,,,,,,,,,,,,needs_invitation_response,5.0,True,"['business_meeting', 'game_night', 'spilled_milk', 'adoption', 'book_club', 'sports_team', 'massage_therapist', 'hackday']"
487,False,False,False,,,False,True,True,False,False,,,12.949546173,244.67358355,212.020224152,,,485.070339558,5.927208495,7.328825982,46.490449734,6.548200916,,,rejected_at_initial_evaluation,2.0,False,"['business_meeting', 'family_reunion', 'book_club', 'massage_therapist', 'adoption', 'hackday', 'negotiations', 'game_night']"
488,True,True,,True,False,,True,True,,,False,True,,,,,,,,,,,,,rejected_at_interview,6.0,True,"['adoption', 'spilled_milk', 'book_club', 'hackday', 'game_night', 'sports_team', 'conference_swag', 'extracurricular_activities']"
489,True,,,,True,True,True,True,False,True,True,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'adoption', 'hackday', 'negotiations', 'game_night', 'massage_therapist', 'family_reunion', 'spilled_milk']"
490,True,True,,True,,,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'book_club', 'adoption', 'game_night', 'sports_team', 'conference_swag', 'hackday', 'spilled_milk']"
491,True,True,True,,True,,True,True,True,,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'adoption', 'business_meeting', 'spilled_milk', 'game_night', 'extracurricular_activities', 'massage_therapist', 'book_club']"
492,True,True,,False,True,,,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['book_club', 'spilled_milk', 'massage_therapist', 'hackday', 'extracurricular_activities', 'adoption', 'conference_swag', 'negotiations']"
493,False,,False,False,,,False,False,,False,False,True,,,,,,,,,,,,,rejected_at_initial_evaluation,1.0,False,"['negotiations', 'business_meeting', 'hackday', 'conference_swag', 'adoption', 'game_night', 'spilled_milk', 'sports_team']"
494,True,True,True,True,,,True,True,True,True,,,,,,,,,,,,,,,rejected_at_interview,8.0,True,"['hackday', 'book_club', 'game_night', 'massage_therapist', 'adoption', 'business_meeting', 'conference_swag', 'negotiations']"
495,True,True,True,True,,,True,,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['business_meeting', 'negotiations', 'massage_therapist', 'spilled_milk', 'adoption', 'game_night', 'book_club', 'conference_swag']"
496,True,True,,False,,,True,True,True,,True,True,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['sports_team', 'adoption', 'game_night', 'conference_swag', 'book_club', 'massage_therapist', 'spilled_milk', 'hackday']"
497,True,True,True,True,,True,,True,,,True,False,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['spilled_milk', 'sports_team', 'hackday', 'business_meeting', 'adoption', 'family_reunion', 'conference_swag', 'book_club']"
498,True,True,True,,True,True,True,,,,True,True,,,,,,,,,,,,,rejected_at_logic_evaluation,8.0,True,"['book_club', 'extracurricular_activities', 'business_meeting', 'sports_team', 'adoption', 'family_reunion', 'spilled_milk', 'game_night']"
499,True,,True,,True,True,True,,True,False,,True,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['negotiations', 'extracurricular_activities', 'family_reunion', 'game_night', 'sports_team', 'business_meeting', 'adoption', 'massage_therapist']"
500,,True,True,True,,,True,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'game_night', 'business_meeting', 'negotiations', 'hackday', 'conference_swag', 'massage_therapist', 'spilled_milk']"
501,True,,True,,False,,True,True,True,,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,5.0,False,"['game_night', 'hackday', 'extracurricular_activities', 'adoption', 'spilled_milk', 'sports_team', 'business_meeting', 'massage_therapist']"
502,True,True,True,True,True,,True,,False,True,,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['game_night', 'adoption', 'extracurricular_activities', 'conference_swag', 'book_club', 'negotiations', 'massage_therapist', 'business_meeting']"
503,True,False,False,False,,,False,,,True,False,False,,,,,,,,,,,,,rejected_at_initial_evaluation,2.0,False,"['book_club', 'spilled_milk', 'adoption', 'sports_team', 'negotiations', 'game_night', 'conference_swag', 'business_meeting']"
504,,True,True,,True,,True,,True,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'negotiations', 'game_night', 'sports_team', 'business_meeting', 'massage_therapist', 'spilled_milk', 'book_club']"
505,True,True,,True,True,,True,True,,True,True,,,,,,,,,,,,,,rejected_at_initial_evaluation,8.0,True,"['conference_swag', 'hackday', 'game_night', 'adoption', 'spilled_milk', 'extracurricular_activities', 'book_club', 'negotiations']"
506,True,True,True,True,True,True,,,True,True,,,,,,,,,,,,,,,rejected_at_logic_evaluation,8.0,True,"['family_reunion', 'negotiations', 'massage_therapist', 'adoption', 'conference_swag', 'book_club', 'extracurricular_activities', 'business_meeting']"
507,False,False,False,True,,False,False,,False,False,,,,,,,,,,,,,,,accepted_invitation,1.0,False,"['adoption', 'conference_swag', 'book_club', 'family_reunion', 'business_meeting', 'game_night', 'negotiations', 'massage_therapist']"
508,True,True,,,True,True,True,True,True,,False,,,,,,,,,,,,,,needs_to_schedule_interview,7.0,True,"['game_night', 'spilled_milk', 'family_reunion', 'book_club', 'extracurricular_activities', 'adoption', 'hackday', 'massage_therapist']"
509,True,True,True,True,,True,,,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'conference_swag', 'negotiations', 'spilled_milk', 'book_club', 'sports_team', 'family_reunion', 'business_meeting']"
510,True,,True,True,,True,True,True,True,,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['spilled_milk', 'massage_therapist', 'adoption', 'game_night', 'conference_swag', 'family_reunion', 'business_meeting', 'hackday']"
511,True,True,True,,False,,True,,True,,True,False,,,,,,,,,,,,,accepted_invitation,6.0,True,"['book_club', 'game_night', 'extracurricular_activities', 'sports_team', 'adoption', 'massage_therapist', 'business_meeting', 'spilled_milk']"
512,True,True,,,True,True,True,True,,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['spilled_milk', 'book_club', 'hackday', 'extracurricular_activities', 'sports_team', 'game_night', 'adoption', 'family_reunion']"
513,True,,True,True,False,,True,True,,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['adoption', 'sports_team', 'extracurricular_activities', 'negotiations', 'game_night', 'hackday', 'business_meeting', 'conference_swag']"
514,,True,True,,True,,True,True,True,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['massage_therapist', 'business_meeting', 'extracurricular_activities', 'hackday', 'spilled_milk', 'sports_team', 'game_night', 'book_club']"
515,,,True,,True,True,True,True,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'business_meeting', 'family_reunion', 'negotiations', 'sports_team', 'game_night', 'hackday', 'spilled_milk']"
516,,,True,True,False,True,True,True,,,False,False,,,,,,,,,,,,,needs_invitation_response,5.0,True,"['spilled_milk', 'sports_team', 'family_reunion', 'business_meeting', 'game_night', 'hackday', 'conference_swag', 'extracurricular_activities']"
517,True,True,True,True,,True,True,,,True,True,,,,,,,,,,,,,,declined_invitation,8.0,True,"['business_meeting', 'adoption', 'game_night', 'negotiations', 'spilled_milk', 'family_reunion', 'book_club', 'conference_swag']"
518,True,,True,,,True,True,True,,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['business_meeting', 'spilled_milk', 'negotiations', 'hackday', 'adoption', 'sports_team', 'game_night', 'family_reunion']"
519,True,True,True,,False,True,True,True,,True,,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['extracurricular_activities', 'family_reunion', 'business_meeting', 'negotiations', 'hackday', 'game_night', 'book_club', 'adoption']"
520,,,True,,False,True,True,True,True,True,True,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['game_night', 'business_meeting', 'family_reunion', 'negotiations', 'spilled_milk', 'massage_therapist', 'hackday', 'extracurricular_activities']"
521,,,,True,True,True,False,True,True,False,,False,,,,,,,,,,,,,rejected_at_interview,5.0,True,"['family_reunion', 'extracurricular_activities', 'sports_team', 'conference_swag', 'game_night', 'negotiations', 'massage_therapist', 'hackday']"
522,,True,True,True,True,,,,True,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['extracurricular_activities', 'massage_therapist', 'sports_team', 'negotiations', 'spilled_milk', 'book_club', 'conference_swag', 'business_meeting']"
523,False,True,,False,,,False,True,True,True,,False,,,,,,,,,,,,,rejected_at_initial_evaluation,4.0,False,"['conference_swag', 'sports_team', 'hackday', 'negotiations', 'game_night', 'massage_therapist', 'book_club', 'adoption']"
524,,True,True,True,True,,False,True,,True,,True,,,,,,,,,,,,,accepted_invitation,7.0,True,"['negotiations', 'sports_team', 'extracurricular_activities', 'game_night', 'business_meeting', 'conference_swag', 'book_club', 'hackday']"
525,True,,True,True,True,,True,True,,,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['conference_swag', 'extracurricular_activities', 'game_night', 'business_meeting', 'sports_team', 'adoption', 'spilled_milk', 'hackday']"
526,True,True,True,True,,,True,True,True,,False,,,,,,,,,,,,,,rejected_at_logic_evaluation,7.0,True,"['spilled_milk', 'massage_therapist', 'hackday', 'business_meeting', 'game_night', 'adoption', 'book_club', 'conference_swag']"
527,True,True,,True,True,,True,True,,True,True,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['adoption', 'extracurricular_activities', 'hackday', 'spilled_milk', 'book_club', 'game_night', 'negotiations', 'conference_swag']"
528,True,True,,False,False,True,True,,,True,True,,,,,,,,,,,,,,rejected_at_interview,6.0,True,"['adoption', 'book_club', 'game_night', 'spilled_milk', 'extracurricular_activities', 'negotiations', 'family_reunion', 'conference_swag']"
529,True,True,True,True,False,True,True,,,True,,,,,,,,,,,,,,,accepted_invitation,7.0,True,"['adoption', 'negotiations', 'game_night', 'book_club', 'extracurricular_activities', 'family_reunion', 'business_meeting', 'conference_swag']"
530,,True,,True,True,True,,,True,True,True,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['sports_team', 'extracurricular_activities', 'spilled_milk', 'book_club', 'family_reunion', 'conference_swag', 'massage_therapist', 'negotiations']"
531,True,,True,True,True,,True,True,True,,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['hackday', 'extracurricular_activities', 'conference_swag', 'game_night', 'adoption', 'massage_therapist', 'business_meeting', 'sports_team']"
532,True,True,True,,True,True,,,True,True,,True,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'business_meeting', 'sports_team', 'massage_therapist', 'negotiations', 'family_reunion', 'adoption', 'extracurricular_activities']"
533,,False,,False,False,False,True,True,,True,,False,,,,,,,,,,,,,rejected_at_initial_evaluation,3.0,False,"['family_reunion', 'game_night', 'conference_swag', 'negotiations', 'extracurricular_activities', 'book_club', 'hackday', 'sports_team']"
534,,False,False,,False,,False,True,False,,False,True,,,,,,,,,,,,,rejected_at_initial_evaluation,2.0,False,"['book_club', 'extracurricular_activities', 'sports_team', 'business_meeting', 'hackday', 'spilled_milk', 'massage_therapist', 'game_night']"
535,,True,True,True,True,,,True,True,,False,True,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['book_club', 'conference_swag', 'sports_team', 'business_meeting', 'hackday', 'extracurricular_activities', 'massage_therapist', 'spilled_milk']"
536,True,True,,True,True,,True,True,False,True,,,,,,,,,,,,,,,rejected_at_interview,7.0,True,"['extracurricular_activities', 'hackday', 'massage_therapist', 'adoption', 'game_night', 'book_club', 'negotiations', 'conference_swag']"
537,,False,,,True,True,True,True,,True,False,True,,,,,,,,,,,,,rejected_at_logic_evaluation,6.0,True,"['sports_team', 'book_club', 'negotiations', 'family_reunion', 'extracurricular_activities', 'game_night', 'spilled_milk', 'hackday']"
538,,True,True,True,True,True,True,,True,True,,,,,,,,,,,,,,,accepted_invitation,8.0,True,"['book_club', 'game_night', 'family_reunion', 'business_meeting', 'massage_therapist', 'conference_swag', 'extracurricular_activities', 'negotiations']"
